,0
Annual return,0.012062520224908724
Cumulative returns,0.035836954453001724
Annual volatility,0.04037512382934869
Sharpe ratio,0.3171468715014186
Calmar ratio,0.1528975823330302
Stability,0.020463507449744858
Max drawdown,-0.07889281204352228
Omega ratio,1.0628345138975657
Sortino ratio,0.4568701682050367
Skew,-0.1800594276385674
Kurtosis,8.965552485966144
Tail ratio,1.080919298458123
Daily value at risk,-0.005035974593102276
