index,Equity(8 [APOLLOTYRE]),cash
2021-01-01 00:00:00+00:00,18015.0,82120.5
2021-01-04 00:00:00+00:00,18800.0,81907.5
2021-01-05 00:00:00+00:00,18690.0,81803.5
2021-01-06 00:00:00+00:00,18625.0,81857.5
2021-01-11 00:00:00+00:00,19245.0,81517.5
2021-01-13 00:00:00+00:00,19185.0,81677.5
2021-01-14 00:00:00+00:00,19030.0,81548.5
2021-01-19 00:00:00+00:00,18925.0,81695.5
2021-01-20 00:00:00+00:00,20380.0,81727.5
2021-01-22 00:00:00+00:00,23300.0,81488.5
2021-01-28 00:00:00+00:00,20420.0,83447.5
2021-02-01 00:00:00+00:00,21600.0,83343.5
2021-02-02 00:00:00+00:00,22800.0,83295.5
2021-02-03 00:00:00+00:00,22900.0,83399.5
2021-02-04 00:00:00+00:00,24310.0,83225.5
2021-02-05 00:00:00+00:00,24190.0,82921.5
2021-02-08 00:00:00+00:00,24900.0,82960.5
2021-02-10 00:00:00+00:00,24900.0,82890.5
2021-02-12 00:00:00+00:00,23945.0,83217.5
2021-02-16 00:00:00+00:00,23640.0,83437.5
2021-02-19 00:00:00+00:00,24000.0,83705.5
2021-02-23 00:00:00+00:00,23070.0,84037.5
2021-03-02 00:00:00+00:00,24650.0,77560.50000000047
2021-03-04 00:00:00+00:00,26000.0,77300.50000000047
2021-03-05 00:00:00+00:00,24385.0,78046.50000000047
2021-03-09 00:00:00+00:00,23280.0,79071.50000000047
2021-03-10 00:00:00+00:00,23850.0,79037.50000000047
2021-03-12 00:00:00+00:00,24020.0,79354.50000000047
2021-03-15 00:00:00+00:00,23525.0,79696.50000000047
2021-03-16 00:00:00+00:00,23300.0,79944.50000000047
2021-03-18 00:00:00+00:00,21760.0,80922.50000000047
2021-03-19 00:00:00+00:00,22600.0,80371.50000000047
2021-03-22 00:00:00+00:00,22560.0,80230.50000000047
2021-03-30 00:00:00+00:00,22205.0,81239.50000000047
2021-04-01 00:00:00+00:00,23645.0,80797.50000000047
2021-04-07 00:00:00+00:00,22535.0,80932.50000000047
2021-04-09 00:00:00+00:00,22300.0,81135.50000000047
2021-04-15 00:00:00+00:00,20800.0,81676.50000000047
2021-04-27 00:00:00+00:00,20560.0,81403.50000000047
2021-04-29 00:00:00+00:00,20820.0,81087.50000000047
2021-05-03 00:00:00+00:00,22195.0,81295.50000000047
2021-05-06 00:00:00+00:00,21325.0,81907.50000000047
2021-05-11 00:00:00+00:00,22400.0,81390.50000000047
2021-05-18 00:00:00+00:00,21500.0,81996.50000000047
2021-05-21 00:00:00+00:00,21740.0,81322.50000000047
2021-05-25 00:00:00+00:00,21870.0,80766.50000000047
2021-05-27 00:00:00+00:00,22400.0,80587.50000000047
2021-05-28 00:00:00+00:00,22375.0,80601.50000000047
2021-05-31 00:00:00+00:00,22275.0,80472.50000000047
2021-06-01 00:00:00+00:00,22180.0,80578.50000000047
2021-06-02 00:00:00+00:00,23135.0,80297.50000000047
2021-06-03 00:00:00+00:00,23030.0,79962.50000000047
2021-06-10 00:00:00+00:00,24130.0,79515.50000000047
2021-06-11 00:00:00+00:00,23860.0,79591.50000000047
2021-06-14 00:00:00+00:00,23790.0,79381.50000000047
2021-06-18 00:00:00+00:00,22800.0,79989.50000000047
2021-06-21 00:00:00+00:00,22650.0,80171.50000000047
2021-06-28 00:00:00+00:00,23025.0,80346.50000000047
2021-06-29 00:00:00+00:00,22625.0,80365.50000000047
2021-06-30 00:00:00+00:00,22500.0,80411.50000000047
2021-07-01 00:00:00+00:00,22820.0,80310.50000000047
2021-07-02 00:00:00+00:00,22735.0,80401.50000000047
2021-07-05 00:00:00+00:00,22870.0,80410.50000000047
2021-07-07 00:00:00+00:00,23125.0,80505.50000000047
2021-07-08 00:00:00+00:00,22675.0,80674.50000000047
2021-07-14 00:00:00+00:00,24000.0,80017.50000000047
2021-07-16 00:00:00+00:00,23065.0,80633.50000000047
2021-07-19 00:00:00+00:00,22565.0,80342.50000000047
2021-07-22 00:00:00+00:00,22675.0,80394.50000000047
2021-07-26 00:00:00+00:00,22250.0,80631.50000000047
2021-07-29 00:00:00+00:00,21635.0,80670.50000000047
2021-08-03 00:00:00+00:00,22895.0,80485.50000000047
2021-08-05 00:00:00+00:00,22215.0,80563.50000000047
2021-08-06 00:00:00+00:00,22215.0,80563.50000000047
2021-08-10 00:00:00+00:00,21485.0,123291.5
2021-08-12 00:00:00+00:00,22425.0,123025.5
2021-08-13 00:00:00+00:00,22490.0,122918.5
2021-08-16 00:00:00+00:00,22585.0,122882.5
2021-08-17 00:00:00+00:00,22205.0,123013.5
2021-08-18 00:00:00+00:00,22000.0,122855.5
2021-08-24 00:00:00+00:00,20865.0,123434.5
2021-08-25 00:00:00+00:00,20785.0,123507.5
2021-08-26 00:00:00+00:00,20845.0,123633.5
2021-08-27 00:00:00+00:00,20875.0,123751.5
2021-08-31 00:00:00+00:00,21270.0,123807.5
2021-09-01 00:00:00+00:00,21840.0,123829.5
2021-09-02 00:00:00+00:00,22170.0,123753.5
2021-09-03 00:00:00+00:00,22270.0,123648.5
2021-09-06 00:00:00+00:00,22150.0,123534.5
2021-09-08 00:00:00+00:00,21495.0,123877.5
2021-09-09 00:00:00+00:00,-1482120.0,1627536.5
2021-09-13 00:00:00+00:00,21515.0,122419.5
2021-09-14 00:00:00+00:00,22115.0,122471.5
2021-09-15 00:00:00+00:00,22210.0,122433.5
2021-09-17 00:00:00+00:00,22350.0,121911.5
2021-09-21 00:00:00+00:00,21955.0,122289.5
2021-09-23 00:00:00+00:00,23670.0,121661.5
2021-09-24 00:00:00+00:00,22835.0,122112.5
2021-09-27 00:00:00+00:00,23200.0,122036.5
2021-09-30 00:00:00+00:00,22580.0,122110.5
2021-10-01 00:00:00+00:00,22405.0,122001.5
2021-10-04 00:00:00+00:00,22810.0,121837.5
2021-10-08 00:00:00+00:00,23420.0,121563.5
2021-10-20 00:00:00+00:00,22615.0,122693.5
2021-10-22 00:00:00+00:00,22050.0,122793.5
2021-10-26 00:00:00+00:00,21940.0,122894.5
2021-11-02 00:00:00+00:00,22345.0,122753.5
2021-11-03 00:00:00+00:00,22095.0,123056.5
2021-11-08 00:00:00+00:00,22895.0,123028.5
2021-11-09 00:00:00+00:00,23100.0,122912.5
2021-11-10 00:00:00+00:00,23280.0,122523.5
2021-11-11 00:00:00+00:00,23135.0,122479.5
2021-11-15 00:00:00+00:00,23175.0,122677.5
2021-11-22 00:00:00+00:00,21760.0,123179.5
2021-11-25 00:00:00+00:00,22310.0,122725.5
2021-12-01 00:00:00+00:00,20840.0,123763.5
2021-12-02 00:00:00+00:00,21010.0,123507.5
