,portfolio_value,returns,benchmark_period_return,benchmark_volatility,excess_returns
2018-01-01 10:00:00+00:00,100000.0,0.0,-0.008929886143951626,,0.008929886143951626
2018-01-02 10:00:00+00:00,100000.0,0.0,-0.00825539474371706,0.1078770892180286,0.00825539474371706
2018-01-03 10:00:00+00:00,100000.0,0.0,-0.007571403464605719,0.08812307942200183,0.007571403464605719
2018-01-04 10:00:00+00:00,100000.0,0.0,-0.002004474442950599,0.09664617290335095,0.002004474442950599
2018-01-05 10:00:00+00:00,100000.0,0.0,0.003315457727914195,0.09333520633188114,-0.003315457727914195
2018-01-08 10:00:00+00:00,100000.0,0.0,0.008682889293161855,0.08880631832312354,-0.008682889293161855
2018-01-09 10:00:00+00:00,100000.0,0.0,0.009675626635760715,0.08111791030053044,-0.009675626635760715
2018-01-10 10:00:00+00:00,100000.0,0.0,0.009400130148340846,0.0756767073986772,-0.009400130148340846
2018-01-11 10:00:00+00:00,100043.99919807672,0.0004399919807671626,0.011775099867476824,0.07106052526534065,-0.011335107886709661
2018-01-12 10:00:00+00:00,100066.04919807671,0.00022040302443659954,0.013380579397612946,0.0670108638748167,-0.013160176373176347
2018-01-15 10:00:00+00:00,100048.89919807672,-0.00017138680039252563,0.019607750001187974,0.06760725867526468,-0.0197791368015805
2018-01-16 10:00:00+00:00,99732.84904014895,-0.003158956874698249,0.017546276284977846,0.06676801950724293,-0.020705233159676095
2018-01-17 10:00:00+00:00,100254.04904014895,0.0052259612055218785,0.02544542557082452,0.06969136633082722,-0.020219464365302642
2018-01-18 10:00:00+00:00,99857.098899675,-0.003959442479126274,0.028086391898503926,0.06701093319067443,-0.0320458343776302
2018-01-19 10:00:00+00:00,99857.04889967499,-5.007155280400966e-07,0.03549154748277017,0.06801806007807895,-0.03549204819829821
2018-01-22 10:00:00+00:00,99836.69702833914,-0.00020381006208480823,0.04106797638330173,0.06681645184209463,-0.04127178644538654
2018-01-23 10:00:00+00:00,100346.64522344792,0.0051078231781245265,0.05292382522122896,0.07313944251902281,-0.04781600204310443
2018-01-24 10:00:00+00:00,100651.14522344792,0.0030344811161544527,0.05302832388887091,0.0718084587074616,-0.04999384277271646
