,order_str,order_id
56,"[{'id': '4b3a01b2c9be4f289d3e64449a40418b', 'dt': Timestamp('2018-03-23 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-03-23 04:15:00+0000', tz='UTC'), 'amount': -2, 'filled': -2, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",56
57,[],57
58,"[{'id': '045d3898c4154d24b7c4bf92c537d88c', 'dt': Timestamp('2018-03-27 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-03-27 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",58
59,"[{'id': '5e6712c9eda14bbebabe9093988108b9', 'dt': Timestamp('2018-03-28 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-03-28 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",59
60,[],60
61,[],61
62,"[{'id': 'b74d3509c63d458398101044344aeb7c', 'dt': Timestamp('2018-04-04 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-04-04 04:15:00+0000', tz='UTC'), 'amount': 67, 'filled': 67, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",62
63,[],63
64,[],64
65,[],65
66,[],66
67,[],67
68,[],68
69,[],69
70,"[{'id': '70b5ff3bbc924fe383dd9bdf29f07bde', 'dt': Timestamp('2018-04-16 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-04-16 04:15:00+0000', tz='UTC'), 'amount': -60, 'filled': -60, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",70
71,[],71
72,[],72
73,"[{'id': '69bcea65546a4834b2df21269055e4c0', 'dt': Timestamp('2018-04-19 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-04-19 04:15:00+0000', tz='UTC'), 'amount': -7, 'filled': -7, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",73
74,"[{'id': '416c5f96fca14874886ac1415f6f1529', 'dt': Timestamp('2018-04-20 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-04-20 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",74
75,[],75
76,[],76
77,[],77
