,portfolio_value,returns
2018-01-01 10:00:00+00:00,100104.1998809778,0.0010419988097780664
2018-01-02 10:00:00+00:00,100199.39987915554,0.0009510090314983621
2018-01-03 10:00:00+00:00,100205.39987915554,5.988059815953406e-05
2018-01-04 10:00:00+00:00,100013.39987915554,-0.0019160644060256526
2018-01-05 10:00:00+00:00,100070.39987915554,0.0005699236309222311
2018-01-08 10:00:00+00:00,100107.89987915554,0.00037473618617789306
2018-01-09 10:00:00+00:00,100172.39987915554,0.0006443047959039383
2018-01-10 10:00:00+00:00,100257.89987915554,0.0008535285178667973
2018-01-11 10:00:00+00:00,100224.89987915554,-0.0003291511196603647
2018-01-12 10:00:00+00:00,100211.39987915554,-0.00013469706646029866
2018-01-15 10:00:00+00:00,100221.89987915554,0.00010477849838119724
2018-01-16 10:00:00+00:00,100373.39987915554,0.001511645660106975
2018-01-17 10:00:00+00:00,100035.39987915217,-0.00336742603528728
2018-01-18 10:00:00+00:00,99698.69881582884,-0.0033658191373261426
2018-01-19 10:00:00+00:00,99789.89881582884,0.0009147561711759788
2018-01-22 10:00:00+00:00,99728.69881582884,-0.0006132885264563681
2018-01-23 10:00:00+00:00,100025.09881582884,0.002972063242771883
2018-01-24 10:00:00+00:00,100301.09881582884,0.0027593074465059875
2018-01-25 10:00:00+00:00,99867.89881582884,-0.004318995555526506
2018-01-29 10:00:00+00:00,99891.89881582884,0.0002403174622134241
2018-01-30 10:00:00+00:00,99902.69881582884,0.00010811687562295447
2018-01-31 10:00:00+00:00,99917.798814159,0.00015114705117236227
2018-02-01 10:00:00+00:00,99652.448814159,-0.002655683002920517
2018-02-02 10:00:00+00:00,99372.59881415899,-0.0028082601414231023
2018-02-05 10:00:00+00:00,99016.74506738123,-0.003581004733943516
2018-02-06 10:00:00+00:00,99117.79506737494,0.0010205344553080309
2018-02-07 10:00:00+00:00,99185.39506737494,0.0006820167857248816
2018-02-08 10:00:00+00:00,98921.49506737494,-0.002660673981494277
2018-02-09 10:00:00+00:00,99093.09506737495,0.0017347089212826905
2018-02-12 10:00:00+00:00,99239.99506737494,0.001482444361033508
2018-02-14 10:00:00+00:00,99662.99506667606,0.004262394400704528
2018-02-15 10:00:00+00:00,99530.19506667605,-0.0013324905589194858
2018-02-16 10:00:00+00:00,99801.44506667394,0.002725303610790375
2018-02-19 10:00:00+00:00,99855.19506667374,0.0005385693560238103
2018-02-20 10:00:00+00:00,99851.79506667375,-3.404930507333592e-05
2018-02-21 10:00:00+00:00,99720.89506667375,-0.0013109428820242686
2018-02-22 10:00:00+00:00,99749.79506667375,0.00028980887085561235
2018-02-23 10:00:00+00:00,99622.29506667375,-0.001278198114740725
2018-02-26 10:00:00+00:00,99688.59506667375,0.0006655136779938342
2018-02-27 10:00:00+00:00,99909.59506667375,0.0022169035470123166
2018-02-28 10:00:00+00:00,99904.49506667374,-5.104614823625564e-05
2018-03-01 10:00:00+00:00,100101.69506667374,0.001973885157703803
2018-03-05 10:00:00+00:00,100059.64506666514,-0.00042007280676514824
2018-03-06 10:00:00+00:00,100332.64506666514,0.0027283726603077874
2018-03-07 10:00:00+00:00,100640.09506665585,0.003064306734726463
2018-03-08 10:00:00+00:00,100258.54506665112,-0.003791232507799336
2018-03-09 10:00:00+00:00,100360.29506665112,0.0010148760879420404
2018-03-12 10:00:00+00:00,100376.94506665111,0.00016590226233326177
2018-03-13 10:00:00+00:00,100356.59506665112,-0.00020273579741314496
2018-03-14 10:00:00+00:00,100219.69506665111,-0.0013641355598909
2018-03-15 10:00:00+00:00,100384.34506665112,0.0016428906502909957
2018-03-16 10:00:00+00:00,100408.39506665111,0.00023957918920536336
2018-03-19 10:00:00+00:00,100585.99506665111,0.0017687764044240772
2018-03-20 10:00:00+00:00,100508.29506665112,-0.0007724733443109644
2018-03-21 10:00:00+00:00,100602.64506665111,0.0009387284893989101
2018-03-22 10:00:00+00:00,100822.79506665112,0.0021883122442174496
2018-03-23 10:00:00+00:00,101076.64506657928,0.002517783798399398
2018-03-26 10:00:00+00:00,100583.29506657927,-0.00488094949802742
2018-03-27 10:00:00+00:00,100340.24506657665,-0.002416405227545382
2018-03-28 10:00:00+00:00,100492.84506657338,0.001520825466346798
2018-04-02 10:00:00+00:00,100616.79506657338,0.0012334211447380117
2018-04-03 10:00:00+00:00,100431.79506657338,-0.0018386592405135183
2018-04-04 10:00:00+00:00,100302.29405811842,-0.0012894423361556884
2018-04-05 10:00:00+00:00,100725.29405811842,0.004217251499301744
2018-04-06 10:00:00+00:00,100663.79405811842,-0.0006105715607491735
2018-04-09 10:00:00+00:00,100696.79405811842,0.0003278239242692216
