symbol
AAPL
GOOGL
MSFT
AMZN
TSLA
META
NVDA
NFLX
PYPL
ADBE
CRM
INTC
AMD
ORCL
IBM
CSCO
V
MA
JPM
BAC
WFC
GS
MS
C
BRK-B
JNJ
PFE
UNH
ABBV
TMO
DHR
BMY
AMGN
KO
PEP
WMT
HD
MCD
SBUX
NKE
DIS
XOM
CVX
COP
SLB
HAL
OXY
DVN
SPY
