,order_str,order_id
10,"[{'id': 'e29e77b4e6f24191a1be9e83618cc12e', 'dt': Timestamp('2016-01-15 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-15 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}]",10
11,"[{'id': 'dc5a3566cc2f4b658e910cf884905bc8', 'dt': Timestamp('2016-01-18 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-18 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '67e0cbca704340b0893a1757c9a675df', 'dt': Timestamp('2016-01-18 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-18 04:15:00+0000', tz='UTC'), 'amount': 8, 'filled': 8, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'f1f1a17f6a3142a6a6c06232ab114858', 'dt': Timestamp('2016-01-18 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-18 04:15:00+0000', tz='UTC'), 'amount': 3, 'filled': 3, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",11
12,"[{'id': 'f70e110f2d924a1186194ba44fb7d037', 'dt': Timestamp('2016-01-19 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-19 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e451bdd2b711446188e61b36dfbecfce', 'dt': Timestamp('2016-01-19 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-19 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'da5498d3cff04709b9e4b6921ebeac22', 'dt': Timestamp('2016-01-19 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-19 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",12
13,"[{'id': 'eeb0980745134d1f82ed10735ad7f5cc', 'dt': Timestamp('2016-01-20 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-20 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'fecc3db49ee84007a392a729ca8721bb', 'dt': Timestamp('2016-01-20 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-20 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '405771e4496a48aebd5590262c02b4a6', 'dt': Timestamp('2016-01-20 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-20 04:15:00+0000', tz='UTC'), 'amount': 2, 'filled': 2, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",13
14,"[{'id': 'e6d59aa00ef445cdb33d957157a2a221', 'dt': Timestamp('2016-01-21 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-21 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ae220dba96424961a503456a80663915', 'dt': Timestamp('2016-01-21 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-21 04:15:00+0000', tz='UTC'), 'amount': 3, 'filled': 3, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}]",14
15,"[{'id': 'ac87a71960114b96a5771fb276e75521', 'dt': Timestamp('2016-01-22 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-22 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'adad4ce95b2d4391baa77d9fdc01ff78', 'dt': Timestamp('2016-01-22 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-22 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}]",15
16,"[{'id': 'b392e7dcc6314dbd9444415597ead437', 'dt': Timestamp('2016-01-25 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-25 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '6e825d4fc2914c749d8ba065471fdf97', 'dt': Timestamp('2016-01-25 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-25 04:15:00+0000', tz='UTC'), 'amount': -6, 'filled': -6, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'a5f8bbe6415847b5ad9babb1e2e56082', 'dt': Timestamp('2016-01-25 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-25 04:15:00+0000', tz='UTC'), 'amount': -2, 'filled': -2, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",16
17,"[{'id': '438ed7dbd45f4f0a8d7e32432c5f7117', 'dt': Timestamp('2016-01-27 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-27 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '11a04c8400b4425cabf6a8a4b539d4c6', 'dt': Timestamp('2016-01-27 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-27 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '10e0e203d5f4409bb1e1c517d193381f', 'dt': Timestamp('2016-01-27 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-27 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",17
18,"[{'id': '50760c5bd792401eb926d989cf8e6618', 'dt': Timestamp('2016-01-28 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-28 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'b760ed231f6f4c89a98fa963dc1769e2', 'dt': Timestamp('2016-01-28 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-28 04:15:00+0000', tz='UTC'), 'amount': 2, 'filled': 2, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}]",18
19,"[{'id': 'ef18d007b4a14337a061ab9234a6da52', 'dt': Timestamp('2016-01-29 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-29 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '78926c430c7d402997d882734313fd44', 'dt': Timestamp('2016-01-29 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-29 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}]",19
20,"[{'id': 'a7be0fcee69f4287b241f53681471091', 'dt': Timestamp('2016-02-01 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-02-01 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '7622f042b0dd4f0bb4b0ee7918daf147', 'dt': Timestamp('2016-02-01 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-02-01 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '611ad3eff55d4da79a0539e6f8c43d7b', 'dt': Timestamp('2016-02-01 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-02-01 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",20
