,transaction_str,txn_id
17,"[{'amount': 1, 'dt': Timestamp('2016-01-27 04:16:00+0000', tz='UTC'), 'price': 71.65000010504158, 'order_id': '11a04c8400b4425cabf6a8a4b539d4c6', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 1, 'dt': Timestamp('2016-01-27 04:16:00+0000', tz='UTC'), 'price': 182.40000000545254, 'order_id': '10e0e203d5f4409bb1e1c517d193381f', 'sid': Equity(7 [SBIN]), 'commission': None}]",17
18,"[{'amount': 2, 'dt': Timestamp('2016-01-28 04:16:00+0000', tz='UTC'), 'price': 71.00000000671776, 'order_id': 'b760ed231f6f4c89a98fa963dc1769e2', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",18
19,"[{'amount': 1, 'dt': Timestamp('2016-01-29 04:16:00+0000', tz='UTC'), 'price': 70.15000001854146, 'order_id': '78926c430c7d402997d882734313fd44', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",19
20,"[{'amount': -1, 'dt': Timestamp('2016-02-01 04:16:00+0000', tz='UTC'), 'price': 70.8499999633195, 'order_id': '7622f042b0dd4f0bb4b0ee7918daf147', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 1, 'dt': Timestamp('2016-02-01 04:16:00+0000', tz='UTC'), 'price': 177.30000000065917, 'order_id': '611ad3eff55d4da79a0539e6f8c43d7b', 'sid': Equity(7 [SBIN]), 'commission': None}]",20
21,"[{'amount': -2, 'dt': Timestamp('2016-02-02 04:16:00+0000', tz='UTC'), 'price': 71.49999969982301, 'order_id': 'c3b4fcfb60994565b5f05067965a6ef0', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 1, 'dt': Timestamp('2016-02-02 04:16:00+0000', tz='UTC'), 'price': 174.2000000012264, 'order_id': '31fac753c7724a50908f917e772fd0fa', 'sid': Equity(7 [SBIN]), 'commission': None}]",21
22,"[{'amount': 7, 'dt': Timestamp('2016-02-03 04:16:00+0000', tz='UTC'), 'price': 67.70000101045342, 'order_id': 'cc731b29873d4c3ca7bf16cb83370755', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 3, 'dt': Timestamp('2016-02-03 04:16:00+0000', tz='UTC'), 'price': 166.35000001165855, 'order_id': '8fc3d4f4021b4a508a8c59546ff36a44', 'sid': Equity(7 [SBIN]), 'commission': None}]",22
23,"[{'amount': -1, 'dt': Timestamp('2016-02-04 04:16:00+0000', tz='UTC'), 'price': 68.49999997686443, 'order_id': '85d0b6ad32ab46158d20cd077a992fd0', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",23
24,"[{'amount': -3, 'dt': Timestamp('2016-02-05 04:16:00+0000', tz='UTC'), 'price': 69.44999863865574, 'order_id': 'f3671a5f34014d5b95057b70659f7e3b', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 1, 'dt': Timestamp('2016-02-05 04:16:00+0000', tz='UTC'), 'price': 164.3500000051495, 'order_id': '2f20484ba8954efe8debbbb29a0418ff', 'sid': Equity(7 [SBIN]), 'commission': None}]",24
25,"[{'amount': -2, 'dt': Timestamp('2016-02-08 04:16:00+0000', tz='UTC'), 'price': 172.19999998886686, 'order_id': '61da31f568b543c1ba067240bdfed2fc', 'sid': Equity(7 [SBIN]), 'commission': None}]",25
26,"[{'amount': 1, 'dt': Timestamp('2016-02-09 04:16:00+0000', tz='UTC'), 'price': 68.95000004134403, 'order_id': '759f775e374b4a93b8b8c5bc497c11ba', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",26
