,period_open,period_close,longs_count,portfolio_value,ending_cash,starting_cash,ending_value,starting_value,net_leverage,gross_leverage,ending_exposure,returns,short_exposure,starting_exposure,long_exposure,positions,transactions,short_value,orders,capital_used,pnl,long_value,shorts_count,pipeline_rows,selected_cnt,pipeline_size,invested,leverage,pos_cnt,excess_return,max_leverage,max_drawdown,sortino,period_label,sharpe,alpha,beta,trading_days,algorithm_period_return,treasury_period_return,benchmark_period_return,benchmark_volatility,algo_volatility
2024-02-15 10:00:00+00:00,2024-02-15 03:46:00+00:00,2024-02-15 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-02,,,,1,0.0,0.0,-0.02013606634603793,,
2024-02-16 10:00:00+00:00,2024-02-16 03:46:00+00:00,2024-02-16 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-02,,0.0,0.0,2,0.0,0.0,-0.010506250068471501,0.3363425289332813,0.0
2024-02-19 10:00:00+00:00,2024-02-19 03:46:00+00:00,2024-02-19 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-02,,0.0,0.0,3,0.0,0.0,-0.01445020212754311,0.23807102327064514,0.0
2024-02-20 10:00:00+00:00,2024-02-20 03:46:00+00:00,2024-02-20 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-02,,0.0,0.0,4,0.0,0.0,-0.008358987280754682,0.21291434530216452,0.0
2024-02-21 10:00:00+00:00,2024-02-21 03:46:00+00:00,2024-02-21 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-02,,0.0,0.0,5,0.0,0.0,0.09767854599634074,0.7952106889408805,0.0
2024-02-22 10:00:00+00:00,2024-02-22 03:46:00+00:00,2024-02-22 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-02,,0.0,0.0,6,0.0,0.0,0.19173084718281297,0.8296947198495183,0.0
2024-02-23 10:00:00+00:00,2024-02-23 03:46:00+00:00,2024-02-23 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-02,,0.0,0.0,7,0.0,0.0,0.17966892713548543,0.796114453620536,0.0
2024-02-26 10:00:00+00:00,2024-02-26 03:46:00+00:00,2024-02-26 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-02,,0.0,0.0,8,0.0,0.0,0.1586454715761565,0.7750984205011018,0.0
2024-02-27 10:00:00+00:00,2024-02-27 03:46:00+00:00,2024-02-27 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-02,,0.0,0.0,9,0.0,0.0,0.19348371476462267,0.7271632545611408,0.0
2024-02-28 10:00:00+00:00,2024-02-28 03:46:00+00:00,2024-02-28 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-02,,0.0,0.0,10,0.0,0.0,0.18953976270555106,0.6961171922234476,0.0
