,portfolio_value,returns,benchmark_period_return,benchmark_volatility,excess_returns
2018-02-01 10:00:00+00:00,100289.49951080994,0.0028949951080994296,-0.0009156263881712201,,0.0038106214962706497
2018-02-02 10:00:00+00:00,100597.34951079126,0.003069613483794198,-0.02658036208037573,0.2780720837670454,0.029649975564169928
2018-02-05 10:00:00+00:00,100470.14951076746,-0.0012644468332654313,-0.03081853372859389,0.2130439098547555,0.029554086895328457
2018-02-06 10:00:00+00:00,100612.14951076117,0.0014133551177655246,-0.04626632942605635,0.17957759633453937,0.047679684543821876
2018-02-07 10:00:00+00:00,100703.14951076117,0.0009044633321373396,-0.051782751774592795,0.1611349761059409,0.052687215106730134
2018-02-08 10:00:00+00:00,100347.89951076117,-0.0035276950296578846,-0.04092215362578999,0.20268414621567066,0.03739445859613211
2018-02-09 10:00:00+00:00,100571.09951074548,0.002224261803909222,-0.051120962404924586,0.1863967837380457,0.05334522420883381
2018-02-12 10:00:00+00:00,100763.19951074549,0.0019100914769207833,-0.04492915227501426,0.1894634510192336,0.046839243751935045
2018-02-14 10:00:00+00:00,101259.69951074226,0.004927394151908127,-0.05175555495118178,0.17739990994113589,0.05668294910308991
2018-02-15 10:00:00+00:00,101109.54951073095,-0.0014828209123352032,-0.04360557353567762,0.18225955059730853,0.04212275262334242
2018-02-16 10:00:00+00:00,101413.74951073095,0.0030086178948673936,-0.05247627077157391,0.1744811331218222,0.0554848886664413
2018-02-19 10:00:00+00:00,101472.89951073074,0.000583254245949405,-0.05826919415812226,0.16646472234237258,0.05885244840407167
2018-02-20 10:00:00+00:00,101469.19951073074,-3.6462937570758136e-05,-0.06101607332263592,0.1596265084011074,0.060979610385065164
2018-02-21 10:00:00+00:00,101326.74951073075,-0.0014038742858607511,-0.057616470396257724,0.1574549762626552,0.05621259611039697
2018-02-22 10:00:00+00:00,101358.19951073074,0.0003103820082244191,-0.05918935335019537,0.15207712849581012,0.05949973535841979
2018-02-23 10:00:00+00:00,101219.44951073074,-0.0013689075049651,-0.048786568395478125,0.15863214228096653,0.047417660890513025
2018-02-26 10:00:00+00:00,101291.59951073074,0.000712807670351312,-0.04115785942868544,0.15942349769505298,0.04187066709903675
