,returns
2021-01-01,-0.0014299999999994872
2021-01-04,0.005457804660665255
2021-01-05,0.0011902153343552602
2021-01-06,0.000855538367415809
2021-01-07,0.004457918147255047
2021-01-08,0.001692131095629712
2021-01-11,-4.939393639824541e-05
2021-01-12,-0.0020054928770421032
2021-01-13,-4.949563943035251e-06
2021-01-14,-0.0014997252978400377
2021-01-15,-0.007643728870691202
2021-01-18,0.0005394820971873493
2021-01-19,0.006689965052422808
2021-01-20,0.012690934338426274
2021-01-21,0.01096969133051462
2021-01-22,0.019211486201734962
2021-01-25,-0.00958627409044377
2021-01-27,-0.0014588172063649818
2021-01-28,0.00276330712596895
2021-01-29,-0.0019984759823423737
2021-02-01,0.013239404154781642
2021-02-02,0.0072796553538183595
2021-02-03,-0.0038581880631425314
2021-02-04,0.013253666485605775
2021-02-05,0.002265512467312325
2021-02-08,0.005474240373568806
2021-02-09,-0.0006753506272429988
2021-02-10,0.0006619205880435963
2021-02-11,-0.005074451501287713
2021-02-12,0.0010368042253254828
2021-02-15,0.0001718476408110181
2021-02-16,-0.0015092131659114605
2021-02-17,0.001957966505286679
2021-02-18,-0.004948013367991444
2021-02-19,0.00513588401578513
2021-02-22,-0.009258614688479105
2021-02-23,-0.005288551620761139
2021-02-24,0.007897302108302195
2021-02-25,-0.0890958192386041
2021-02-26,-0.0063090188193406505
2021-03-01,0.010870855679840918
2021-03-02,-0.0030433783542255233
2021-03-03,0.0024226716998141384
2021-03-04,0.01218627370830494
2021-03-05,-0.007218685795342128
2021-03-08,-0.005140669253103525
2021-03-09,-0.0008637608864543456
2021-03-10,0.004000266002343267
2021-03-12,0.0019361182866364235
2021-03-15,-0.0029545026926137696
2021-03-16,6.630352734871003e-05
2021-03-17,-0.005084633391303606
2021-03-18,-0.003008960242766756
2021-03-19,0.0020874357959250744
2021-03-22,0.0007901366320683945
2021-03-23,0.001727700108174135
2021-03-24,-0.0021085601400235854
2021-03-25,-0.0009231621380448862
2021-03-26,0.0009907495816285916
2021-03-30,0.0014256775814780465
2021-03-31,-9.729967788707494e-05
2021-04-01,0.009387771825416724
2021-04-05,-0.00695124488170229
2021-04-06,0.0012109321111619664
2021-04-07,0.0032660726497033554
2021-04-08,-0.001693846200799598
2021-04-09,-0.0013196712540968214
2021-04-12,-0.002673442107732793
2021-04-13,0.0040464911652462465
2021-04-15,-0.005808354859910714
2021-04-16,0.00013837000138439137
2021-04-19,-8.198569349704421e-05
2021-04-20,-0.0019319462949669575
2021-04-22,-0.0003337389545242653
2021-04-23,-0.0018644259314437583
2021-04-26,0.0009725474052542094
2021-04-27,-7.711130760457152e-05
2021-04-28,0.004796693212139935
2021-04-29,-0.009153610789900846
2021-04-30,0.0046319964059429175
2021-05-03,0.0037676689796959373
2021-05-04,-0.0011470532509229026
2021-05-05,-0.0005485519765824343
2021-05-06,0.0013182732159708888
2021-05-07,0.0013677648059264857
2021-05-10,0.00010231435061047733
2021-05-11,0.003186765969636074
2021-05-12,-0.001376715157632491
2021-05-14,-0.00714836430106891
2021-05-17,-0.0003239924093221269
2021-05-18,-0.0003240974144220754
2021-05-19,-0.0001698203506522722
2021-05-20,-0.005738843996088816
2021-05-21,0.00198783486475973
2021-05-24,-4.64974503886495e-05
2021-05-25,-0.0014724877292687788
2021-05-26,0.0021110909890560414
2021-05-27,0.0027675514914307087
2021-05-28,-0.002203811357866403
2021-05-31,-0.0017855207682906382
2021-06-01,0.000516969524647859
2021-06-02,0.003358565634121735
2021-06-03,-0.004130082138166125
2021-06-04,-0.00127725808369894
2021-06-07,0.002656159390274526
2021-06-08,-0.00023754318380198036
2021-06-09,0.0009503984958898481
2021-06-10,0.0014448853638284742
2021-06-11,-0.0025764297897116206
2021-06-14,-0.00453589713122482
2021-06-15,-0.0025585269527576004
2021-06-16,-0.004932464775541656
2021-06-17,-0.0003817033380729695
2021-06-18,0.0037138747221145962
2021-06-21,-0.001855277900826846
2021-06-22,0.0006422003978518998
2021-06-23,-0.0002661073195177055
2021-06-24,-0.0022233704416982913
2021-06-25,0.0016424741728788828
2021-06-28,0.007708014559582699
2021-06-29,-0.000849895058688821
2021-06-30,-0.0004356823875399929
2021-07-01,0.00225200682866733
2021-07-02,-0.0007558852918179149
2021-07-05,0.0003108727753167173
2021-07-06,0.0018646569808111746
2021-07-07,0.0002584981258892949
2021-07-08,-0.0008993410001281177
2021-07-09,-0.003429883963351088
2021-07-12,-0.002346369875100951
2021-07-13,0.0036995410695890296
2021-07-14,0.001762598692567785
2021-07-15,-0.006329015664701898
2021-07-16,-6.770339662598435e-05
2021-07-19,-0.006354133572220033
2021-07-20,-0.0005084363746918896
2021-07-22,0.0009806800780360891
2021-07-23,-0.0011578500662745572
2021-07-26,-0.0015316024127974837
2021-07-27,-5.2532596475862725e-05
2021-07-28,0.00012083131947804304
2021-07-29,-0.005967295438906839
2021-07-30,0.007953074219885892
2021-08-02,0.0006658278284554786
2021-08-03,-0.0011735920824441637
2021-08-04,-0.0009861363910560472
2021-08-05,-0.0028458165970975946
2021-08-06,0.0
2021-08-09,0.04975436120750176
2021-08-10,-0.008000521664108362
2021-08-11,-0.0019467352996207499
2021-08-12,0.003510958446059753
2021-08-13,-0.0001009718540950777
2021-08-16,-0.002978970487996002
2021-08-17,-0.0022181146025879173
2021-08-18,-0.0012434843955391184
2021-08-20,0.0007419377788620007
2021-08-23,-0.003788186545336414
2021-08-24,0.0013915649753808434
2021-08-25,0.0010078643964273049
2021-08-26,-0.0016475721194193493
2021-08-27,-0.0015484212724558022
